,URL,Email
0,https://www.petkin.com/Dog-Care-Products-s/1820.htm,  contact@petkin.com  info@petkin.com
1,https://www.amazon.com/dog-shampoos/b?ie=UTF8&node=2975374011,  api-services-support@amazon.com  26259ea1-9025-45ff-94cc-1f8577fddae9-room@groups.campfire.prod.xmpp.amazon-comm.com  d646db89-3a86-4604-9c28-aafd37561740-room@groups.campfire.prod.xmpp.amazon-comm.com
2,https://www.beautysunn.com/Private-Label-Natural-And-Mild-Organic-Dog-Shampoo-Pet-Dog-Shower-Gel-Wholesale,  manager@beautysunn.com
3,https://www.petsmart.com/dog/grooming-supplies/shampoos-and-conditioners/,
4,https://www.petsglobal.com/website/webhome_38843/Connex_OEM_Pet_Care.html,  member@petsglobal.com  amarathcharlie@hotmail.com  yourname@company.com  harry@sovimexco.comWhatsapp
5,https://cnhuiji.en.made-in-china.com/product/yXZJDLbEhzVx/China-OEM-Service-Private-Label-Pet-Shampoo.html,
6,https://dahchuan.en.alibaba.com/product/60769840724-806800015/OEM_dog_grooming_shampoo_and_conditioner.html,
7,http://www.lucybelle.com.tw/en/modules/news/index.php?storytopic=0&storynum=20,  admin@cadch.com  admin@chccd.com  service@lucybelle.com.tw  jack@lucybelle.com.tw
8,https://www.beautysunn.com/Private-Label-Natural-And-Mild-Organic-Dog-Shampoo-Pet-Dog-Shower-Gel-Wholesale,  manager@beautysunn.com
9,https://www.biocrown.com.tw/en/category/A09.html,  trade@biocrown.com.tw
10,https://www.oemcompanymalaysia.com/products/pet-care-products/,  sales@oemcompanymalaysia.com  info@oemcompanymalaysia.com
11,https://www.e-ecf.com/goods.php?id=26429,  e-ecf@ecf.gov.cn
